# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367095,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,6,7,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,8,8,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,10,9,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,12,10,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,13,11,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,15,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,17,13,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,18,14,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,21,15,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,24,16,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,27,17,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,30,18,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,34,19,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,41,20,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,43,18,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
367095,103,17,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
