# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369927,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369927,21,20,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369927,63,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369943,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369943,2,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369956,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369956,9,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369956,236,25,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369956,710,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369978,1,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369978,193,6,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369978,499,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369998,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
369998,3,10,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369999,1,10,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370093,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,9,7,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,16,18,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,189,16,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,203,14,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,222,13,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,245,11,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,254,10,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,268,9,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,276,8,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,283,7,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370093,407,8,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370097,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370097,22,7,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370097,25,8,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370097,31,9,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370097,49,11,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370097,162,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370097,243,13,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370097,282,14,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370102,1,14,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370102,198,15,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370102,441,17,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370129,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370129,91,7,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370129,115,8,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370129,145,9,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370129,169,10,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370129,216,7,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370129,263,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370129,325,7,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370144,1,5,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370144,13,9,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370144,24,11,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370144,126,12,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370144,339,13,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370144,340,14,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370144,636,15,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
370144,913,17,512.00,HLT_BTagMu_AK4DiJet40_Mu5_v17/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
